OBJECTID,CaseObjectID,AppliedDate,Fee,IssuedDate,ParcelNo,PropertyAddress,Status,Valuation,WorkDescription,BuildingUseCode,PermitNumber,PermitType,PermitSubType
9411861,47577,2025/05/15 23:37:28+00,188.6,,282335,499 W MAIN ST,OPEN,0,Gas Other,A2 - Hospitality including Restaurants and Hotels,GC-25-0015,C-GAS,C-GASOTH
9411863,47575,2025/05/15 23:03:54+00,276.43,,282335,499 W MAIN ST,OPEN,0,Electrical Other,A2 - Hospitality including Restaurants and Hotels,EC-25-0067,C-ELEC,C-ELECOTH
9411867,47571,2025/05/15 17:56:52+00,175.75,,282335,499 W MAIN ST,OPEN,0,Mechanical Other,A2 - Hospitality including Restaurants and Hotels,MC-25-0044,C-MECH,C-MECHOTH
9411870,47568,2025/05/15 03:04:25+00,211.5,,284954,317 E WATER ST # 100,OPEN,0,Change of Use Permit,B - Business,BC-25-0116,C-BLDG,C-CHNGUSE
9411875,47563,2025/05/14 22:16:38+00,135.0,,284954,317 E Water St # 100,OPEN,0,New C.O. Permit for Existing Structure,B - Business,BC-25-0115,C-BLDG,C-NEWCO
9411923,47514,2025/05/09 19:44:26+00,25.0,,E MAIN ST,104 E MAIN ST,OPEN,0,Downtown Mall Vendor,,ZA-25-0074,ZNG-ZONING,ZNG-MALLVN
9411938,47498,2025/05/08 21:41:43+00,375.0,,2ND ST NW,Downtown Mall,OPEN,0,ADC/IPP COA,,HST25-0078,HST-HSTRC,HST-COA
9411950,47486,2025/05/07 22:03:59+00,0.0,,,240 W MAIN ST UNIT 600,OPEN,0,Street Cut Permit,,EG-25-0046,EG-PWENG,EG-STREET
9411952,47484,2025/05/07 21:30:49+00,0.0,,263722,240 W MAIN ST UNIT 600,OPEN,0,Temporary Street/Sidewalk Closure,,TE-25-0176,TE-TRAFFIC,TE-STREETS
9411953,47483,2025/05/07 21:20:05+00,296.42,,285724,820 W MAIN ST,OPEN,0,Other,U - Utility and Miscellaneous,BC-25-0108,C-BLDG,C-BLDGOTH
9411968,47468,2025/05/06 18:01:16+00,100.0,,,E WATER ST,CLOSED,0,Temporary Parking Spot Closure,,TE-25-0175,TE-TRAFFIC,TE-PARKING
9411972,47464,2025/05/06 17:40:54+00,100.0,,,E WATER ST,CLOSED,0,Temporary Parking Spot Closure,,TE-25-0171,TE-TRAFFIC,TE-PARKING
9411997,47439,2025/05/02 23:01:27+00,86.5,,264665,300 E MAIN ST,OPEN,0,Electrical Other,B - Business,EC-25-0061,C-ELEC,C-ELECOTH
9412019,47417,2025/05/01 17:29:18+00,200.0,,E MAIN ST,Downtown Mall,CLOSED,0,Downtown Mall Vendor,,ZA-25-0066,ZNG-ZONING,ZNG-MALLVN
9412054,47382,2025/04/28 22:37:41+00,60.0,,247586,301 E WATER ST,CLOSED,0,Temporary Parking Spot Closure,,TE-25-0154,TE-TRAFFIC,TE-PARKING
9412073,47363,2025/04/25 22:57:42+00,275.0,,248730,509 E WATER ST,OPEN,0,Sign,,ZA-25-0061,ZNG-ZONING,ZNG-SIGN
9412074,47362,2025/04/25 22:50:10+00,286.5,,248730,509 E WATER ST,CANCELLED,0,Sign,B - Business,BC-25-0100,C-BLDG,C-SIGN
9412114,47321,2025/04/22 18:09:14+00,100.0,,,E WATER ST,CLOSED,0,Temporary Parking Spot Closure,,TE-25-0135,TE-TRAFFIC,TE-PARKING
9412130,47305,2025/04/22 16:36:20+00,204.29,,266728,300 W MAIN ST # 102,OPEN,0,Complete Furnace System,B - Business,MC-25-0036,C-MECH,C-FURNACE
9412131,47304,2025/04/22 16:33:31+00,189.91,,266728,300 W MAIN ST # 102,OPEN,0,Mini-Split System,R2 - Apartments/Fraternities and Sororities etc,MC-25-0035,C-MECH,C-MINISPLT
9412152,47283,2025/04/20 20:59:30+00,1554.5,,259552,503 W MAIN ST,OPEN,0,Interior Renovations,R3 - Residential Occupancy (Commercial Code),BC-25-0099,C-BLDG,C-INTRENO
9412153,47282,2025/04/20 20:38:40+00,1554.5,,259552,503 W MAIN ST,OPEN,0,Modify Existing Plumbing System,R3 - Residential Occupancy (Commercial Code),PC-25-0031,C-PLUMB,C-PLMBALT
9412155,47280,2025/04/19 21:39:58+00,0.0,,,111 east water st,OPEN,0,Temporary Parking Spot Closure,,TE-25-0128,TE-TRAFFIC,TE-PARKING
9412156,47279,2025/04/19 17:34:07+00,100.0,,255240,1223 W MAIN ST,CLOSED,0,Temporary Parking Spot Closure,,TE-25-0127,TE-TRAFFIC,TE-PARKING
9412199,47236,2025/04/16 00:42:18+00,0.0,,264665,300 E MAIN ST,CLOSED,0,Other,,ER-25-0178,R-ELEC,R-ELECOTH
9412227,47207,2025/04/11 23:51:50+00,200.0,,E MAIN ST,E MAIN ST,CLOSED,0,Downtown Mall Vendor,,ZA-25-0051,ZNG-ZONING,ZNG-MALLVN
