OBJECTID,CaseObjectID,AppliedDate,Fee,IssuedDate,ParcelNo,PropertyAddress,Status,Valuation,WorkDescription,BuildingUseCode,PermitNumber,PermitType,PermitSubType
9411846,47592,2025/05/18 00:29:34+00,0,,268452,101 E MARKET ST,OPEN,0,Temporary Parking Spot Closure,,TE-25-0196,TE-TRAFFIC,TE-PARKING
9411847,47591,2025/05/17 01:06:18+00,286.5,,,117 4th Street NE,OPEN,0,Sign,,BC-25-0118,C-BLDG,C-SIGN
9411861,47577,2025/05/15 23:37:28+00,188.6,,282335,499 W MAIN ST,OPEN,0,Gas Other,A2 - Hospitality including Restaurants and Hotels,GC-25-0015,C-GAS,C-GASOTH
9411863,47575,2025/05/15 23:03:54+00,276.43,,282335,499 W MAIN ST,OPEN,0,Electrical Other,A2 - Hospitality including Restaurants and Hotels,EC-25-0067,C-ELEC,C-ELECOTH
9411867,47571,2025/05/15 17:56:52+00,175.75,,282335,499 W MAIN ST,OPEN,0,Mechanical Other,A2 - Hospitality including Restaurants and Hotels,MC-25-0044,C-MECH,C-MECHOTH
9411870,47568,2025/05/15 03:04:25+00,211.5,,284954,317 E WATER ST # 100,OPEN,0,Change of Use Permit,B - Business,BC-25-0116,C-BLDG,C-CHNGUSE
9411875,47563,2025/05/14 22:16:38+00,135,,284954,317 E Water St # 100,OPEN,0,New C.O. Permit for Existing Structure,B - Business,BC-25-0115,C-BLDG,C-NEWCO
9411885,47553,2025/05/14 00:57:47+00,442.79,,163685,424 4th St SE,OPEN,0,New Plumbing System,R2 - Apartments/Fraternities and Sororities etc,PC-25-0043,C-PLUMB,C-PLMBNEW
9411886,47552,2025/05/14 00:49:57+00,442.79,,163684,450 4th St SE,OPEN,0,New Plumbing System,R2 - Apartments/Fraternities and Sororities etc,PC-25-0042,C-PLUMB,C-PLMBNEW
9411887,47551,2025/05/14 00:35:20+00,417.8,,163685,424 4th St SE,OPEN,0,New Plumbing System,R2 - Apartments/Fraternities and Sororities etc,PR-25-0119,R-PLUMB,R-PLMBNEW
9411888,47550,2025/05/14 00:23:54+00,453.5,,163686,455 4th St SE,OPEN,0,New Plumbing System,R2 - Apartments/Fraternities and Sororities etc,PC-25-0041,C-PLUMB,C-PLMBNEW
