place,day,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
IX Art Park,Monday,4,4,3,2,6,8,9,12,16,17,21,27,33,34,35,37,41,45,52,56,52,31,15,8
IX Art Park,Tuesday,4,3,3,5,9,9,11,12,17,20,26,33,41,40,37,38,47,57,59,54,40,26,14,8
IX Art Park,Wednesday,6,8,7,8,5,5,6,12,16,23,26,33,38,40,41,41,43,54,65,63,49,31,23,19
IX Art Park,Thursday,16,13,11,8,8,9,11,15,18,20,20,23,28,34,36,38,43,53,59,56,41,28,15,10
IX Art Park,Friday,8,6,6,5,5,5,9,14,16,19,22,30,38,42,42,46,50,63,70,68,60,46,32,23
IX Art Park,Saturday,15,11,10,7,5,6,9,20,41,68,92,100,92,78,66,65,64,66,63,59,53,42,31,23
IX Art Park,Sunday,17,11,8,6,3,3,4,5,7,11,18,28,37,44,47,48,43,42,37,33,24,14,7,5
Downtown Mall,Monday,7,6,5,4,5,4,5,9,13,18,21,25,30,35,38,40,39,36,32,25,17,12,8,6
Downtown Mall,Tuesday,6,8,7,6,3,5,7,10,15,20,26,30,37,41,42,41,39,36,33,30,27,23,20,15
Downtown Mall,Wednesday,9,6,5,3,4,5,6,11,15,21,26,33,41,47,49,48,47,46,42,39,34,30,27,24
Downtown Mall,Thursday,18,12,7,5,4,4,7,12,18,23,26,30,34,34,35,37,44,46,52,49,41,30,18,12
Downtown Mall,Friday,7,6,5,5,5,5,7,10,14,19,28,35,43,47,52,58,64,74,85,84,72,58,46,36
Downtown Mall,Saturday,28,20,12,7,6,6,7,8,12,22,39,56,74,89,100,99,89,78,72,69,64,57,49,44
Downtown Mall,Sunday,33,23,13,8,4,4,6,8,11,14,19,29,45,63,79,86,75,58,41,28,21,17,13,8
Charlottesville Area Transit,Monday,0,0,0,0,0,0,89,89,61,64,66,84,69,56,48,69,69,53,41,35,46,51,53,0
Charlottesville Area Transit,Tuesday,0,0,0,0,0,0,69,64,66,58,56,51,35,38,46,53,66,69,76,64,56,51,51,0
Charlottesville Area Transit,Wednesday,0,0,0,0,0,0,71,61,64,76,94,92,92,66,64,48,46,46,46,41,46,46,53,0
Charlottesville Area Transit,Thursday,0,0,0,0,0,0,51,46,48,43,58,53,58,79,79,87,92,76,76,82,100,84,58,0
Charlottesville Area Transit,Friday,0,0,0,0,0,0,48,41,35,33,35,58,74,76,66,43,38,46,71,82,87,74,84,0
Charlottesville Area Transit,Saturday,0,0,0,0,0,0,74,66,48,41,51,74,69,66,46,46,61,58,58,43,48,58,58,0
Charlottesville Area Transit,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia Discovery Museum,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia Discovery Museum,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia Discovery Museum,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia Discovery Museum,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virginia Discovery Museum,Friday,0,0,0,0,0,0,0,0,0,34,50,58,65,65,68,57,40,0,0,0,0,0,0,0
Virginia Discovery Museum,Saturday,0,0,0,0,0,0,0,0,0,41,57,85,93,100,88,80,61,0,0,0,0,0,0,0
Virginia Discovery Museum,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melting Pot,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,62,60,64,48,40,0,0
Melting Pot,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,44,53,57,51,46,0,0
Melting Pot,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,57,71,84,71,51,0,0
Melting Pot,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,53,62,53,44,31,0,0
Melting Pot,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,68,88,93,91,60,42,0
Melting Pot,Saturday,0,0,0,0,0,0,0,0,0,0,0,0,40,46,44,42,53,77,100,91,66,44,35,0
Melting Pot,Sunday,0,0,0,0,0,0,0,0,0,0,0,0,35,51,55,60,55,64,68,71,68,0,0,0
York Place,Monday,0,0,0,0,0,0,0,0,0,0,29,39,50,47,52,36,36,32,37,35,32,0,0,0
York Place,Tuesday,0,0,0,0,0,0,0,0,0,0,43,58,66,65,68,67,51,52,49,47,27,0,0,0
York Place,Wednesday,0,0,0,0,0,0,0,0,0,0,57,72,71,73,56,49,50,50,57,43,39,0,0,0
York Place,Thursday,0,0,0,0,0,0,0,0,0,0,36,41,54,58,55,52,51,50,41,34,22,0,0,0
York Place,Friday,0,0,0,0,0,0,0,0,0,0,51,66,72,74,70,66,62,65,65,49,40,29,0,0
York Place,Saturday,0,0,0,0,0,0,0,0,0,0,39,60,85,96,100,87,78,59,43,34,34,0,0,0
York Place,Sunday,0,0,0,0,0,0,0,0,0,0,35,47,55,62,55,48,35,36,43,40,33,0,0,0
Chaps Ice Cream,Monday,0,0,0,0,0,0,0,0,0,0,0,29,29,29,37,29,41,50,66,54,66,62,0,0
Chaps Ice Cream,Tuesday,0,0,0,0,0,0,0,0,0,0,0,16,16,25,45,62,70,62,75,62,62,37,0,0
Chaps Ice Cream,Wednesday,0,0,0,0,0,0,0,0,0,0,0,41,37,29,20,25,45,75,79,75,54,37,0,0
Chaps Ice Cream,Thursday,0,0,0,0,0,0,0,0,0,0,0,16,20,16,25,20,25,25,50,58,75,62,0,0
Chaps Ice Cream,Friday,0,0,0,0,0,0,0,0,0,0,0,33,20,20,29,45,62,75,83,91,91,91,83,0
Chaps Ice Cream,Saturday,0,0,0,0,0,0,0,0,0,0,0,41,41,66,75,100,95,100,87,83,66,70,54,0
Chaps Ice Cream,Sunday,0,0,0,0,0,0,0,0,0,0,0,45,41,37,45,54,70,79,70,54,58,54,0,0
Zocalo,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,27,31,34,34,0,0
Zocalo,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,25,29,36,0,0
Zocalo,Wednesday,0,0,0,0,0,0,0,0,0,0,0,14,14,12,14,17,25,42,53,68,68,70,0,0
Zocalo,Thursday,0,0,0,0,0,0,0,0,0,0,0,19,12,12,14,25,38,55,70,74,63,42,0,0
